Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Baroda Bnp Paribas Large & Mid Cap Fund Reg(G),Sanjay Chawla,Eq L&M,1497.7,2.11,Open Ended,04-09-2020,Bse 250 Largemidcap Index Tri,0.6,-3.6,4.65,27.63,29.36,18.29,,,42.16,43.07,11.32,Financials,17.74,1.41,2.02,0.95,15.98,5.12,22.96,0.08,Large,13.09,High,1.14,TRUE,1.72,0,1,1,0,1,0.55,18.29
Baroda Bnp Paribas Large Cap Fund Reg(G),Jitendra Sriram,Eq Lc,2402.8,2,Open Ended,23-09-2004,Nifty 100 Tri,-0.74,-7.14,-0.64,20.38,23.37,16.77,17.65,13.06,83.33,7.95,,Financials,11.26,1.13,1.65,0.97,14.35,21.08,16.96,0.1,Mega,10.19,Medium,1.17,TRUE,1.39,0,1,1,0,1,-2.84,15.83
Baroda Bnp Paribas Liquid Fund(G),Vikram Pamnani,Dt Liq,11193.1,0.31,Open Ended,05-02-2009,Crisil Liquid Debt Index,0.59,1.74,3.52,7.29,7.14,6.4,5.32,6.34,,,, ,0.71,9.99,5.23,,0.07,16.7,6.34,0.04,Mega,23.52,Low,91.43,FALSE,7.61,0,0,0,0,1,1.95,6.02
Baroda Bnp Paribas Low Duration Fund(G),Vikram Pamnani,Dt Lowd,228,1.1,Open Ended,21-10-2005,Crisil Low Duration Debt Index,0.57,1.59,3.39,6.94,6.84,5.8,5.6,6.44,,,, ,2.7,9.2,19.02,0.07,0.32,20,6.2,0.16,Mid,6.31,Low,18.12,TRUE,14.11,0,0,0,0,1,1.85,5.95
Baroda Bnp Paribas Manufacturing Fund Reg(G),Jitendra Sriram,Eq Them,1397.2,2.04,Open Ended,28-06-2024,Nifty India Manufacturing Tri,-0.78,-8.97,-5.44,,,,,,53.88,16.14,23.98,Automobile And Ancillaries,,,,,,1.3,,,Large,,,,FALSE,,0,0,0,1,0,-5.06,
Baroda Bnp Paribas Medium Duration Fund Reg(G),Prashant Pimple,Dt Md,28.3,0.97,Open Ended,05-03-2014,Crisil Medium Duration Debt Index,0.74,2.21,3.78,7.43,6.93,5.3,5.28,,,,, ,2.32,3.98,7.18,0.36,0.85,11.62,6,0.13,Small,7.66,Low,6.24,TRUE,5.58,0,0,0,0,1,2.24,5.29
Baroda Bnp Paribas Mid Cap Fund Reg(G),Shiv Chanani,Eq Mid,2144.5,1.98,Open Ended,02-05-2006,Nifty Midcap 150 Tri,1.69,-4.18,1.75,28.62,31.18,21.81,25.37,16.34,12.05,72.09,10.34,Financials,18.67,1.46,2.15,0.85,15.77,19.47,23.04,0.07,Mega,14.45,High,1.38,TRUE,1.8,0,1,1,0,1,-0.25,21.17
Baroda Bnp Paribas Money Market Fund Reg(G),Vikram Pamnani,Dt Mm,463.8,0.43,Open Ended,19-06-2019,Crisil Money Market Index,0.62,1.76,3.58,7.31,7.1,6.13,5.03,,,,, ,3.2,10.98,21.47,0.03,0.3,6.33,6.16,0.06,Mid,17,Low,20.43,TRUE,16.23,0,0,0,0,1,1.99,5.58
Baroda Bnp Paribas Multi Asset Fund Reg(G),Jitendra Sriram,Hy Multi,1193.1,2.1,Open Ended,19-12-2022,Nifty 500 Tri,-1.36,-5.7,-0.09,14.91,19.09,,,,56.02,9.77,3.17,Financials,6.33,0.97,1.45,1.5,11.02,2.83,14.91,0.14,Large,7.1,Medium,,FALSE,1.21,0,1,1,1,1,-2.38,
Baroda Bnp Paribas Multi Cap Fund Reg(G),Sanjay Chawla,Eq Mlc,2790.7,1.98,Open Ended,12-09-2003,Nifty500 Multicap 50 - 25 - 25 Tri,1.82,-0.5,6.11,31.67,31.66,19.1,24.25,14.59,39.97,30.37,25.7,Financials,20.87,1.57,2.25,0.95,16.33,22.11,22.4,0.06,Mega,15.99,High,1.17,TRUE,1.91,0,1,1,0,1,2.48,19.31
Baroda Bnp Paribas Nifty 50 Index Fund Reg(G),Neeraj Saxena,Eq Indx,60,0.56,Open Ended,29-01-2024,Nifty 50 Tri,-1.68,-7.94,-1.55,,,,,,98.65,1.25,,Financials,,,,,,1.72,,,Small,,,,FALSE,,0,1,0,1,0,-3.72,
Baroda Bnp Paribas Nifty Bank Etf,Neeraj Saxena,Eq Etf,9,0.15,Open Ended,18-06-2024,Nifty Bank Tri,-1.93,-3.54,-2.76,,,,,,86.29,13.63,,Financials,,,,,,1.33,,,Small,,,,FALSE,,0,0,0,1,0,-2.74,
Baroda Bnp Paribas Nifty Midcap 150 Index Fund Reg(G),Neeraj Saxena,Eq Indx,8.4,1.09,Open Ended,04-11-2024,Nifty Midcap 150 Tri,1.44,,,,,,,,6.39,85.82,6.72,Financials,,,,,,0.95,,,Small,,,,FALSE,,0,0,0,1,0,1.44,
Baroda Bnp Paribas Nifty Sdl Dec 2026 Index Fund Reg(G),Gurvinder Singh Wasan,Dt M&Ld,114,0.49,Open Ended,25-01-2023,Nifty Sdl December 2026 Index,0.54,1.44,3.79,7.97,,,,,,,, ,3.18,4.86,10.95,0.22,0.79,2.73,7.97,0.06,Mid,16.27,Low,,TRUE,7.9,0,0,0,1,1,1.92,
Baroda Bnp Paribas Nifty Sdl Dec 2028 Index Fund Reg(G),Gurvinder Singh Wasan,Dt M&Ld,31.1,0.49,Open Ended,24-03-2023,Nifty Sdl Dec 2028 Index,0.38,1.3,4.23,8.38,,,,,,,, ,2.8,3.14,6.51,0.45,1.32,2.57,8.38,0.06,Small,17.1,Low,,TRUE,4.82,0,0,0,1,1,1.97,
Baroda Bnp Paribas Nifty200 Momentum 30 Index Fund Reg(G),Neeraj Saxena,Eq Indx,27.8,1.1,Open Ended,15-10-2024,Nifty200 Momentum 30 Tri,-4.06,,,,,,,,87.03,12.93,,Automobile And Ancillaries,,,,,,1,,,Small,,,,FALSE,,0,0,0,1,0,-4.06,
Baroda Bnp Paribas Overnight Fund Reg(G),Vikram Pamnani,Dt On,653.5,0.17,Open Ended,25-04-2019,Crisil Liquid Overnight Index,0.55,1.61,3.24,6.63,6.62,5.96,4.88,,,,, ,0.28,32.29,2.06,,0.01,6.48,5.82,0.03,Large,39,Low,596,FALSE,17.18,0,0,0,0,1,1.8,5.42
Baroda Bnp Paribas Retirement Fund Reg(G),Pratish Krishnan,Hy Sol,348,2.27,Open Ended,28-05-2024,Crisil Hybrid 35+65 Aggressive Index,0.32,-2.4,3.61,,,,,,46.4,18.84,9.1,Financials,,,,,,1.39,,,Mid,,,,FALSE,,0,0,0,1,0,0.51,
Baroda Bnp Paribas Short Duration Fund Reg(G),Gurvinder Singh Wasan,Dt Sd,197.7,1.05,Open Ended,30-06-2010,Crisil Short Duration Debt Index,0.53,1.49,3.95,7.64,7.32,5.85,5.73,7.03,,,, ,2.65,5.46,11.22,0.32,0.66,15.31,6.56,0.14,Mid,7.28,Low,8.86,TRUE,8.34,0,0,0,0,1,1.99,6.2
Baroda Bnp Paribas Small Cap Fund Reg(G),Shiv Chanani,Eq Sml,1439.9,2.06,Open Ended,30-10-2023,Nifty Smallcap 250 Tri,2.94,-4.19,2.4,24.66,,,,,1.55,15.73,78.07,Financials,16.08,1.08,1.51,0.92,19.13,1.96,24.66,0.08,Large,11.97,High,,TRUE,1.3,0,1,1,1,1,0.38,
Baroda Bnp Paribas Ultra Short Duration Fund Reg(G),Vikram Pamnani,Dt Usd,1339.3,0.48,Open Ended,01-06-2018,Crisil Ultra Short Term Debt Index,0.63,1.77,3.62,7.45,7.33,6.53,5.66,,,,, ,3.3,11.26,22.28,0.03,0.3,7.38,6.55,0.06,Large,15.52,Low,21.77,TRUE,16.77,0,0,0,0,1,2.01,6.1
Baroda Bnp Paribas Value Fund Reg(G),Shiv Chanani,Eq Val,1499.8,2.09,Open Ended,07-06-2023,Nifty 500 Tri,-1.79,-8.54,-3.33,14.59,,,,,62.88,19.54,13.62,Financials,6.53,0.68,0.97,1.06,17.36,2.36,14.59,0.14,Large,6.98,High,,FALSE,0.82,0,1,1,1,1,-4.55,
Bharat 22 Etf,Nishit Patel,Eq Etf,19212.4,0.07,Open Ended,24-11-2017,Bse Bharat 22 Index Tri,-4.32,-9.92,-2.84,18.12,37.96,34.95,25.53,,89.59,9.2,0.81,Energy,6.3,0.7,0.96,3.37,23.11,7.9,26.2,0,Mega,258.86,High,1.51,FALSE,0.83,0,1,1,0,1,-5.69,30.24
Bharat Bond Etf April 2025,Dhawal Dalal,Dt Etf,10740.3,0,Open Ended,27-07-2020,Nifty Bharat Bond Index April 2025,0.65,1.85,3.75,7.77,7.5,5.68,,,,,, ,3.55,9.9,20.74,0.06,0.37,5.22,6.72,0,Mega,,Low,15.35,TRUE,15.32,0,0,0,0,0,2.08,5.68
Bharat Bond Etf April 2030,Dhawal Dalal,Dt Etf,18435.5,0,Open Ended,30-12-2019,Nifty Bharat Bond Index April 2030,0.47,1.43,4.6,8.99,8.17,6.52,7.54,,,,, ,3.63,4.78,9.24,0.42,1.02,5.8,7.68,0,Mega,,Low,6.39,TRUE,7.01,0,0,0,0,0,2.17,7.03
Bharat Bond Etf April 2031,Dhawal Dalal,Dt Etf,12740.8,0,Open Ended,27-07-2020,Nifty Bharat Bond Index April 2031,0.62,1.29,4.87,9.24,8.29,6.46,,,,,, ,4.06,4.26,6.99,0.36,1.2,5.22,7.85,0,Mega,,Low,5.38,TRUE,5.62,0,0,0,0,0,2.26,6.46
Bharat Bond Etf April 2032,Dhawal Dalal,Dt Etf,10652.3,0,Open Ended,13-12-2021,Nifty Bharat Bond Index April 2032,0.62,1.44,4.95,9.78,8.59,6.68,,,,,, ,4.31,4.74,8.29,0.45,1.19,3.84,8.23,0,Mega,,Low,5.61,TRUE,6.52,0,0,0,1,0,2.34,6.68
Bharat Bond Etf April 2033,Dhawal Dalal,Dt Etf,6009.3,0,Open Ended,13-12-2022,Nifty Bharat Bond Index April 2033,0.8,1.44,5.02,10.06,8.57,,,,,,, ,4.28,4.41,7.76,0.53,1.33,2.84,10.06,0,Mega,,Low,,TRUE,6.08,0,0,0,1,0,2.42,
Bharat Bond Etf Fof April 2032 Reg(G),Rahul Dedhia,Fof Dom,4567.9,0.06,Open Ended,15-12-2021,Nifty Bharat Bond Index April 2032,0.72,1.74,5.21,9.66,8.27,6.67,,,,,, ,4.56,1.78,3.4,0.2,2.9,3.84,8.16,0.01,Mega,161,Low,2.3,TRUE,2.59,0,0,0,1,1,2.56,6.67
Bharat Bond Etf Fof April 2033 Reg(G),Rahul Dedhia,Fof Dom,2258.6,0.06,Open Ended,14-12-2022,Nifty Bharat Bond Index April 2033,0.61,1.28,4.68,9.76,8.5,,,,,,, ,5.85,0.93,1.54,0.05,6.48,2.84,9.76,0.01,Mega,162.67,Medium,,TRUE,1.24,0,0,0,1,1,2.19,
Bharat Bond Fof April 2025 Reg(G),Rahul Dedhia,Fof Dom,4242.2,0.06,Open Ended,23-07-2020,Nifty Bharat Bond Index April 2025,0.66,1.95,3.89,7.72,7.33,5.61,,,,,, ,3.6,2.06,3.37,0.03,1.79,5.24,6.66,0.01,Mega,128.67,Low,3.13,TRUE,2.72,0,0,0,0,1,2.17,5.61
Bharat Bond Fof April 2030 Reg(G),Rahul Dedhia,Fof Dom,6868.6,0.06,Open Ended,30-12-2019,Nifty Bharat Bond Index April 2030,0.66,1.44,3.89,9.06,8,6.53,7.51,,,,, ,4.38,1.37,2.31,0.12,3.47,5.8,7.7,0.01,Mega,151,Low,1.88,TRUE,1.84,0,0,0,0,1,2,7.02
Bharat Bond Fof April 2031 Reg(G),Rahul Dedhia,Fof Dom,4626.8,0.06,Open Ended,23-07-2020,Nifty Bharat Bond Index April 2031,0.4,0.83,4.8,8.92,7.89,6.35,,,,,, ,3.96,1.87,3.36,0.33,2.66,5.24,7.64,0.01,Mega,148.67,Low,2.39,TRUE,2.62,0,0,0,0,1,2.01,6.35
Canara Rob Balanced Advantage Fund Reg(G),Shridatta Bhandwaldar,Hy Dyn,1495.1,2.07,Open Ended,02-08-2024,Crisil Hybrid 50+50 Moderate Index,-1.28,-4.02,,,,,,,47.55,5.58,13.1,Financials,,,,,,1.21,,,Large,,,,FALSE,,0,0,0,1,0,-2.65,
Canara Rob Banking And Psu Debt Fund Reg(G),Suman Prasad,Dt B&Psu,232.5,0.71,Open Ended,22-08-2022,Crisil Banking And Psu Debt Index,0.52,1.49,3.75,7.63,6.92,,,,,,, ,2.72,5.74,11.63,0.28,0.62,3.15,7.63,0.09,Mid,10.75,Low,,TRUE,8.68,0,0,0,1,1,1.92,
Canara Rob Bluechip Equity Fund Reg(G),Shridatta Bhandwaldar,Eq Lc,14823.7,1.67,Open Ended,20-08-2010,Bse 100 Tri,-0.62,-5.53,1.59,18.32,20.94,13.96,17.6,13.51,89.8,7.42,,Financials,9.15,1.03,1.57,0.94,13.47,15.17,15.85,0.09,Mega,10.97,Medium,1.04,TRUE,1.3,0,1,1,0,1,-1.52,15.02
Canara Rob Conservative Hybrid Fund Reg(G),Avnish Jain,Hy Dt(Co),957.1,1.85,Open Ended,31-03-1996,Crisil Hybrid 85+15 Conservative Index,0.05,-0.36,3.85,10.19,9.98,7.49,9.19,8.02,13.27,4.26,6.29,Financials,3.25,1.6,2.34,0.93,3.77,29.56,8.72,0.18,Large,5.51,Low,1.99,TRUE,1.97,0,0,0,0,1,1.18,8.23
Canara Rob Consumer Trends Fund Reg(G),Ennettee Fernandes,Eq Cons,1746.7,2.09,Open Ended,14-09-2009,Bse 100 Tri,-0.26,-8.27,2.47,20.84,24.44,18.02,20.83,15.79,52.93,20.15,22.41,Financials,12.27,1.21,1.9,0.77,13.32,16.1,18.87,0.1,Large,9.97,Medium,1.35,TRUE,1.56,0,1,1,0,1,-2.02,18.21
Canara Rob Corp Bond Fund Reg(G),Avnish Jain,Dt Corp,134.3,1.03,Open Ended,07-02-2014,Crisil Corporate Bond Index,0.5,1.33,3.73,7.44,6.72,5.44,5.71,6.56,,,, ,2.44,5.02,10.35,0.32,0.67,11.7,6.29,0.14,Mid,7.22,Low,8.12,TRUE,7.68,0,0,0,0,1,1.85,5.9
Canara Rob Dynamic Bond Fund Reg(G),Kunal Jain,Dt Dyn,119,1.75,Open Ended,29-05-2009,Crisil Dynamic Bond Index,0.22,-0.18,2.97,7.61,6.58,5.19,5.22,6.29,,,, ,-0.2,1.47,2.47,1.21,2.33,16.39,6.08,0.23,Mid,4.35,Low,2.23,FALSE,1.97,0,0,0,0,0,1,5.57
Canara Rob Elss Tax Saver Reg(G),Vishal Mishra,Eq Elss,8817.1,1.69,Open Ended,02-02-2009,Bse 500 Tri,-1.2,-6.34,0.93,17.96,21.45,13.9,20.42,14.2,67.12,16.01,12.9,Financials,9.12,0.99,1.43,0.91,13.87,16.71,16.62,0.09,Mega,10.63,Medium,1,TRUE,1.21,0,1,1,0,1,-2.2,16.17
Canara Rob Emerg Equities Fund Reg(G),Amit Nadekar,Eq L&M,24628.8,1.61,Open Ended,11-03-2005,Nifty Largemidcap 250 Tri,1.22,-3.1,3.64,27.06,26.12,16.19,21.53,16.37,45.09,36.3,16.33,Financials,16.71,1.42,2.22,0.91,15,20.61,20.29,0.06,Mega,16.81,Medium,1.08,TRUE,1.82,0,1,1,0,1,0.59,18.03
Canara Rob Equity Hybrid Fund Reg(G),Ennettee Fernandes,Hy Eq,10904.5,1.73,Open Ended,01-02-1993,Crisil Hybrid 35+65 Aggressive Index,-1.14,-4.62,2.12,15.48,18.09,12.36,15.7,12.32,48.67,14.27,8.42,Financials,5.67,1.03,1.47,1.91,10.99,32.73,13.96,0.11,Mega,8.95,Medium,1.12,FALSE,1.25,0,1,1,0,1,-1.21,13.46
Canara Rob Flexi Cap Fund Reg(G),Shridatta Bhandwaldar,Eq Flex,12908,1.69,Open Ended,16-09-2003,Bse 500 Tri,-0.5,-6.04,1.06,18.16,21.13,13.13,18.43,13.43,72.57,17.36,7.06,Financials,9.17,1.01,1.52,0.92,13.63,22.1,15.79,0.09,Mega,10.75,Medium,0.96,TRUE,1.27,0,1,1,0,1,-1.83,15
Canara Rob Focused Equity Fund Reg(G),Shridatta Bhandwaldar,Eq Mlc,2553.5,1.95,Open Ended,17-05-2021,Bse 500 Tri,0.1,-4.02,5.51,24.29,24.35,16.38,,,73.98,19.49,2.79,Financials,14.19,1.35,2.04,0.92,13.93,4.42,20.34,0.08,Mega,12.46,Medium,1.18,TRUE,1.7,0,1,1,1,1,0.53,16.38
Canara Rob Gilt Fund Reg(G),Kunal Jain,Dt Gilt,122.7,1.25,Open Ended,29-12-1999,Crisil Dynamic Gilt Index,0.24,-0.05,3.52,8.68,7.5,5.74,5.8,7.1,,,, ,0.48,1.78,3.03,1.33,2.5,25.82,6.83,0.14,Mid,6.94,Low,2.3,FALSE,2.4,0,0,0,0,1,1.24,6.21
Canara Rob Income Fund Reg(G),Avnish Jain,Dt M&Ld,120.2,1.88,Open Ended,19-09-2002,Crisil Medium To Long Term Debt Index,0.26,0.42,3.31,7.65,6.56,4.87,5.25,6.35,,,, ,0.53,1.84,3.23,0.97,1.86,23.09,6.03,0.25,Mid,4.07,Low,2.62,TRUE,2.54,0,0,0,0,0,1.33,5.49
Canara Rob Infrastructure Fund Reg(G),Vishal Mishra,Eq Infra,866.5,2.3,Open Ended,02-12-2005,Bse India Infrastructure Index Tri,-0.21,-6.16,-2.5,35.86,38.56,28.26,28.69,16.24,52.84,24.69,17.33,Capital Goods,24.09,1.43,2.01,1.12,20.84,19.88,27.26,0.06,Large,15.59,High,1.36,FALSE,1.72,0,1,1,0,1,-2.96,24.4
Canara Rob Liquid Fund Reg(G),Kunal Jain,Dt Liq,3170.3,0.2,Open Ended,15-07-2008,Crisil Liquid Debt Index,0.59,1.74,3.54,7.36,7.2,6.42,5.22,6.2,,,, ,0.76,10.43,5.44,,0.07,17.27,6.3,0.03,Mega,36.8,Low,91.71,FALSE,7.94,0,0,0,0,1,1.96,5.95
Canara Rob Manufacturing Fund Reg(G),Pranav Gokhale,Eq Them,1718.2,2.03,Open Ended,11-03-2024,Nifty India Manufacturing Tri,-0.72,-6.84,-1.43,,,,,,45.12,24.07,28.62,Capital Goods,,,,,,1.6,,,Large,,,,FALSE,,0,1,0,1,0,-3,
Canara Rob Mid Cap Fund Reg(G),Pranav Gokhale,Eq Mid,2729.6,1.94,Open Ended,02-12-2022,Bse 150 Midcap Tri,0.48,-5.79,0.67,27.67,30.08,,,,25.12,63.59,7.45,Financials,17.39,1.34,2,0.91,16.48,2.87,27.67,0.07,Mega,14.26,High,,TRUE,1.67,0,1,1,1,1,-1.55,
Canara Rob Multi Cap Fund Reg(G),Shridatta Bhandwaldar,Eq Mlc,3848.8,1.86,Open Ended,28-07-2023,Nifty500 Multicap 50 - 25 - 25 Tri,0.14,-4.3,2.96,22.09,,,,,42.52,27.58,24.8,Financials,12.98,1.21,1.76,0.86,14.3,2.22,22.09,0.08,Mega,11.88,Medium,,TRUE,1.48,0,1,1,1,1,-0.4,
Canara Rob Overnight Fund Reg(G),Suman Prasad,Dt On,193.9,0.11,Open Ended,24-07-2019,Crisil Liquid Overnight Index,0.55,1.6,3.22,6.6,6.6,5.96,4.88,,,,, ,0.25,33.16,1.92,,0.01,6.24,5.81,0.02,Mid,60,Low,596,FALSE,17.54,0,0,0,0,1,1.79,5.42
Canara Rob Savings Fund Reg(G),Kunal Jain,Dt Lowd,987.9,0.71,Open Ended,04-03-2005,Crisil Low Duration Debt Index,0.6,1.7,3.59,7.33,7.15,6.13,5.57,6.63,,,, ,3.07,9.54,19.4,0.07,0.34,20.63,6.42,0.1,Large,10.32,Low,18.03,TRUE,14.47,0,0,0,0,1,1.96,6.11
Canara Rob Short Duration Fund Reg(G),Suman Prasad,Dt Sd,348.2,1.02,Open Ended,25-04-2011,Crisil Short Duration Debt Index,0.49,1.35,3.62,7.16,6.69,5.41,5.57,6.33,,,, ,2.12,4.68,9.68,0.33,0.66,14.49,6.12,0.14,Mid,7.02,Low,8.2,TRUE,7.18,0,0,0,0,1,1.82,5.77
Canara Rob Small Cap Fund Reg(G),Pranav Gokhale,Eq Sml,12451.7,1.68,Open Ended,15-02-2019,Nifty Smallcap 250 Tri,0,-4.1,2.25,23.47,27.69,20.69,33.17,,11.94,16.79,67.59,Financials,14.84,1.14,1.63,0.84,16.73,6.67,25.78,0.07,Mega,13.97,High,1.24,TRUE,1.38,0,1,1,0,1,-0.62,26.93
Canara Rob Ultra Short Term Fund Reg(G),Kunal Jain,Dt Usd,602.4,0.95,Open Ended,11-07-2008,Crisil Ultra Short Term Debt Index,0.58,1.62,3.31,6.76,6.56,5.69,4.83,5.81,,,, ,2.62,9.43,19.29,0.03,0.29,17.28,5.77,0.14,Large,7.12,Low,19.62,TRUE,14.36,0,0,0,0,1,1.84,5.44
Cpse Etf,Himanshu Mange,Eq Etf,39632.7,0.07,Open Ended,28-03-2014,Nifty Cpse,-6.44,-14.87,-8.85,27.75,50.7,43.09,29.71,13.03,85.78,12.34,1.58,Energy,12.45,0.88,1.26,4.52,28.91,11.56,28.4,0,Mega,396.43,High,1.49,FALSE,1.07,0,1,1,0,1,-10.05,28.61
Dsp 10Y G Sec Fund Reg(G),Shantanu Godambe,Dt Gl10Y,56.3,0.51,Open Ended,26-09-2014,Crisil 10 Yr Gilt Index,0.37,0.91,4.44,8.96,8.26,5.46,5.59,6.94,,,, ,1.26,2.17,3.91,1.15,2.15,11.06,6.74,0.06,Small,17.57,Low,2.54,FALSE,3.04,0,0,0,0,1,1.91,6
Dsp Aggressive Hybrid Fund Reg(G),Abhishek Singh,Hy Eq,10379.4,1.75,Open Ended,27-05-1999,Crisil Hybrid 35+65 Aggressive Index,-0.59,-3.79,4.06,17.58,22.24,13.37,16.08,12.58,44.95,11.84,11.92,Financials,9.48,1.33,2.04,1.32,10.02,26.41,14.9,0.1,Mega,10.05,Medium,1.33,FALSE,1.68,0,1,1,0,1,-0.11,14.01
Dsp Arbitrage Fund Reg(G),Kaivalya Nadkarni,Hy Arb,5971.2,0.99,Open Ended,25-01-2018,Nifty 50 Arbitrage,0.66,1.83,3.47,7.35,7.29,6.21,5.19,,43.28,20.33,6.29,Financials,3.55,3.25,6.99,-0.1,1,7.73,6.25,0.13,Mega,7.42,Low,6.21,TRUE,5.12,0,0,0,0,1,1.99,5.7
Dsp Banking & Financial Services Fund Reg(G),Dhaval Gada,Eq Fin,1035,2.2,Open Ended,08-12-2023,Nifty Financial Services Tri,-0.99,-5.65,3.96,16.37,,,,,69.89,9.64,7.33,Financials,7.59,0.72,1.09,1.06,18.07,1.86,16.37,0.13,Large,7.44,High,,FALSE,0.9,0,1,1,1,1,-0.89,
Dsp Banking & Psu Debt Fund Reg(G),Shantanu Godambe,Dt B&Psu,3075.6,0.57,Open Ended,14-09-2013,Nifty Banking And Psu Debt Index,0.56,1.08,4.14,8.66,7.65,6.14,6.44,7.29,,,, ,2.85,4.06,7.78,0.53,1.09,12.1,7.13,0.07,Mega,15.19,Low,5.63,TRUE,5.92,0,0,0,0,1,1.93,6.62
Dsp Bond Fund Reg(G),Vivekanand Ramakrishnan,Dt Md,378.5,0.77,Open Ended,29-04-1997,Crisil Medium Duration Debt Index,0.42,1.27,3.92,7.63,7.34,5.83,6.14,6.11,,,, ,2.52,4.51,8.77,0.32,0.77,28.48,6.43,0.1,Mid,9.91,Low,7.57,TRUE,6.64,0,0,0,0,1,1.87,6.03
Dsp Bse Liquid Rate Etf,Anil Ghelani,Dt Etf,2500.9,0.3,Open Ended,27-03-2024,Bse Liquid Rate Index,0.53,1.56,3.12,,,,,,,,, ,,,,,,1.56,,,Mega,,,,FALSE,,0,0,0,1,0,1.74,
Dsp Bse Sensex Etf,Anil Ghelani,Eq Etf,8.1,0.22,Open Ended,27-07-2023,Bse Sensex Tri,-1.65,-6.73,-0.89,9.67,,,,,99.27,0.72,,Financials,1.41,0.45,0.69,0.99,13.78,2.22,9.67,0.02,Small,43.95,Medium,,TRUE,0.57,0,1,0,1,1,-3.09,
Dsp Business Cycle Fund Reg(G),Charanjit Singh,Eq Them,,,Open Ended,17-12-2024,Nifty 500 Tri,,,,,,,,,,,, ,,,,,,0.83,,,,,,,FALSE,,0,0,0,1,0,,
Dsp Corp Bond Fund Reg(G),Shantanu Godambe,Dt Corp,2546.1,0.53,Open Ended,10-09-2018,Crisil Corporate Bond Index,0.58,1.66,3.94,7.69,7.09,5.39,5.75,,,,, ,2.95,6.68,14.03,0.21,0.53,7.1,6.28,0.07,Mega,14.51,Low,10.17,TRUE,10.36,0,0,0,0,1,2.06,5.57
Dsp Credit Risk Fund Reg(G),Vivekanand Ramakrishnan,Dt Cr,188.5,1.14,Open Ended,13-05-2003,Crisil Credit Risk Debt Index,0.56,1.63,3.89,7.78,11.61,10.8,7.96,6.76,,,, ,2.77,5.9,12.15,0.29,0.62,22.44,8.33,0.15,Mid,6.82,Low,17.42,TRUE,9.02,0,0,0,0,1,2.03,8.51
Dsp Crisil Sdl Plus G Sec Apr 2033 50 - 50 Index Fund Reg(G),Shantanu Godambe,Dt Ld,376.3,0.41,Open Ended,25-01-2023,Crisil Sdl Plus G Sec Apr 2033 50 - 50 Index,0.72,1.28,4.81,10,,,,,,,, ,2.95,3.37,6.38,0.86,1.64,2.73,10,0.04,Mid,24.39,Low,,TRUE,4.88,0,0,0,1,1,2.27,
Dsp Dynamic Asset Allocation Fund Reg(G),Rohit Singhania,Hy Dyn,3200.6,1.93,Open Ended,06-02-2014,Crisil Hybrid 50+50 Moderate Index,-0.31,-1.72,2.68,12.17,15.14,9.91,10.31,8.78,48.26,8.36,10.85,Financials,4.86,1.37,1.95,1.12,5.95,11.7,10.29,0.16,Mega,6.31,Medium,1.67,FALSE,1.66,0,0,0,0,1,0.22,9.67
Dsp Elss Tax Saver Fund Reg(G),Rohit Singhania,Eq Elss,16835.1,1.64,Open Ended,18-01-2007,Nifty 500 Tri,-0.98,-6.37,2.24,23.86,27.66,19.64,21.38,15.95,65.38,16.77,15.13,Financials,14.26,1.27,1.84,1,15.24,18.76,20.21,0.07,Mega,14.55,High,1.29,FALSE,1.56,0,1,1,0,1,-1.7,18.99
Dsp Equity Opportunities Fund Reg(G),Rohit Singhania,Eq L&M,14022.8,1.7,Open Ended,16-05-2000,Nifty Largemidcap 250 Tri,-0.75,-6.56,1.08,23.67,28.66,20.24,20.88,15.66,52.17,33.16,10.89,Financials,14.34,1.25,1.82,0.96,15.35,25.44,20.11,0.07,Mega,13.92,High,1.32,TRUE,1.54,0,1,1,0,1,-2.08,18.93
Dsp Equity Savings Fund Reg(G),Abhishek Singh,Hy Eq,2258.2,1.26,Open Ended,28-03-2016,Nifty 50 Equity Savings Index Tri,-0.06,-0.64,4.27,12.05,12.36,9.76,9.83,,54.99,8.36,5.07,Financials,6.35,2.11,3.6,0.46,3.64,9.56,10.55,0.1,Mega,9.56,Low,2.68,TRUE,2.86,0,0,0,0,1,1.19,9.8
Dsp Flexi Cap Fund Reg(G),Bhavin Gandhi,Eq Flex,11765.5,1.74,Open Ended,07-06-2007,Nifty 500 Tri,-1.42,-6.89,1.23,17.78,25.96,14.97,18.87,13.87,55.35,20.93,20.52,Financials,9.65,0.97,1.41,0.91,14.68,18.37,16.37,0.1,Mega,10.22,Medium,1.02,TRUE,1.19,0,1,1,0,1,-2.36,15.9
